Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
Mu-Ramp Step: 6850, Time in Mu-Ramp: 184.9, Current mu: 4.815, Max bond dimensions: 4
Mu-Ramp Step: 6900, Time in Mu-Ramp: 189.9, Current mu: 4.81, Max bond dimensions: 4
Mu-Ramp Step: 6950, Time in Mu-Ramp: 194.9, Current mu: 4.805, Max bond dimensions: 4
Mu-Ramp Step: 7000, Time in Mu-Ramp: 199.9, Current mu: 4.8, Max bond dimensions: 4
Scheduling averaging task (ID 3) for mu=4.8 at overall step 7001.
Mu-Ramp Step: 7050, Time in Mu-Ramp: 204.9, Current mu: 4.795, Max bond dimensions: 4
Mu-Ramp Step: 7100, Time in Mu-Ramp: 209.9, Current mu: 4.79, Max bond dimensions: 4
Mu-Ramp Step: 7150, Time in Mu-Ramp: 214.9, Current mu: 4.785, Max bond dimensions: 4
Mu-Ramp Step: 7200, Time in Mu-Ramp: 219.9, Current mu: 4.78, Max bond dimensions: 4
Mu-Ramp Step: 7250, Time in Mu-Ramp: 224.9, Current mu: 4.775, Max bond dimensions: 4
Mu-Ramp Step: 7300, Time in Mu-Ramp: 229.9, Current mu: 4.77, Max bond dimensions: 4
Mu-Ramp Step: 7350, Time in Mu-Ramp: 234.9, Current mu: 4.765, Max bond dimensions: 4
Mu-Ramp Step: 7400, Time in Mu-Ramp: 239.9, Current mu: 4.76, Max bond dimensions: 4
Mu-Ramp Step: 7450, Time in Mu-Ramp: 244.9, Current mu: 4.755, Max bond dimensions: 4
Mu-Ramp Step: 7500, Time in Mu-Ramp: 249.9, Current mu: 4.75, Max bond dimensions: 4
Mu-Ramp Step: 7550, Time in Mu-Ramp: 254.9, Current mu: 4.745, Max bond dimensions: 4
Mu-Ramp Step: 7600, Time in Mu-Ramp: 259.9, Current mu: 4.74, Max bond dimensions: 4
Averaging task (ID 3) for mu=4.8 completed. Results saved to output_N40_mu4.8.txt
Mu-Ramp Step: 7650, Time in Mu-Ramp: 264.9, Current mu: 4.735, Max bond dimensions: 4
Mu-Ramp Step: 7700, Time in Mu-Ramp: 269.9, Current mu: 4.73, Max bond dimensions: 4
Mu-Ramp Step: 7750, Time in Mu-Ramp: 274.9, Current mu: 4.725, Max bond dimensions: 4
Mu-Ramp Step: 7800, Time in Mu-Ramp: 279.9, Current mu: 4.72, Max bond dimensions: 4
Mu-Ramp Step: 7850, Time in Mu-Ramp: 284.9, Current mu: 4.715, Max bond dimensions: 5
Mu-Ramp Step: 7900, Time in Mu-Ramp: 289.9, Current mu: 4.71, Max bond dimensions: 5
Mu-Ramp Step: 7950, Time in Mu-Ramp: 294.9, Current mu: 4.705, Max bond dimensions: 5
Mu-Ramp Step: 8000, Time in Mu-Ramp: 299.9, Current mu: 4.7, Max bond dimensions: 5
Scheduling averaging task (ID 4) for mu=4.7 at overall step 8001.
Mu-Ramp Step: 8050, Time in Mu-Ramp: 304.9, Current mu: 4.695, Max bond dimensions: 5
Mu-Ramp Step: 8100, Time in Mu-Ramp: 309.9, Current mu: 4.69, Max bond dimensions: 5
Mu-Ramp Step: 8150, Time in Mu-Ramp: 314.9, Current mu: 4.685, Max bond dimensions: 5
Mu-Ramp Step: 8200, Time in Mu-Ramp: 319.9, Current mu: 4.68, Max bond dimensions: 5
Mu-Ramp Step: 8250, Time in Mu-Ramp: 324.9, Current mu: 4.675, Max bond dimensions: 5
Mu-Ramp Step: 8300, Time in Mu-Ramp: 329.9, Current mu: 4.67, Max bond dimensions: 5
Mu-Ramp Step: 8350, Time in Mu-Ramp: 334.9, Current mu: 4.665, Max bond dimensions: 5
Mu-Ramp Step: 8400, Time in Mu-Ramp: 339.9, Current mu: 4.66, Max bond dimensions: 5
Mu-Ramp Step: 8450, Time in Mu-Ramp: 344.9, Current mu: 4.655, Max bond dimensions: 5
Mu-Ramp Step: 8500, Time in Mu-Ramp: 349.9, Current mu: 4.65, Max bond dimensions: 5
Mu-Ramp Step: 8550, Time in Mu-Ramp: 354.9, Current mu: 4.645, Max bond dimensions: 5
Mu-Ramp Step: 8600, Time in Mu-Ramp: 359.9, Current mu: 4.64, Max bond dimensions: 5
Mu-Ramp Step: 8650, Time in Mu-Ramp: 364.9, Current mu: 4.635, Max bond dimensions: 5
Averaging task (ID 4) for mu=4.7 completed. Results saved to output_N40_mu4.7.txt
Mu-Ramp Step: 8700, Time in Mu-Ramp: 369.9, Current mu: 4.63, Max bond dimensions: 5
Mu-Ramp Step: 8750, Time in Mu-Ramp: 374.9, Current mu: 4.625, Max bond dimensions: 5
Mu-Ramp Step: 8800, Time in Mu-Ramp: 379.9, Current mu: 4.62, Max bond dimensions: 5
Mu-Ramp Step: 8850, Time in Mu-Ramp: 384.9, Current mu: 4.615, Max bond dimensions: 5
Mu-Ramp Step: 8900, Time in Mu-Ramp: 389.9, Current mu: 4.61, Max bond dimensions: 5
Mu-Ramp Step: 8950, Time in Mu-Ramp: 394.9, Current mu: 4.605, Max bond dimensions: 5
Mu-Ramp Step: 9000, Time in Mu-Ramp: 399.9, Current mu: 4.6, Max bond dimensions: 5
Scheduling averaging task (ID 5) for mu=4.6 at overall step 9001.
Mu-Ramp Step: 9050, Time in Mu-Ramp: 404.9, Current mu: 4.595, Max bond dimensions: 5
Mu-Ramp Step: 9100, Time in Mu-Ramp: 409.9, Current mu: 4.59, Max bond dimensions: 5
Mu-Ramp Step: 9150, Time in Mu-Ramp: 414.9, Current mu: 4.585, Max bond dimensions: 5
Mu-Ramp Step: 9200, Time in Mu-Ramp: 419.9, Current mu: 4.58, Max bond dimensions: 5
Mu-Ramp Step: 9250, Time in Mu-Ramp: 424.9, Current mu: 4.575, Max bond dimensions: 5
Mu-Ramp Step: 9300, Time in Mu-Ramp: 429.9, Current mu: 4.57, Max bond dimensions: 5
Mu-Ramp Step: 9350, Time in Mu-Ramp: 434.9, Current mu: 4.565, Max bond dimensions: 5
Mu-Ramp Step: 9400, Time in Mu-Ramp: 439.9, Current mu: 4.56, Max bond dimensions: 5
Mu-Ramp Step: 9450, Time in Mu-Ramp: 444.9, Current mu: 4.555, Max bond dimensions: 5
Mu-Ramp Step: 9500, Time in Mu-Ramp: 449.9, Current mu: 4.55, Max bond dimensions: 5
Mu-Ramp Step: 9550, Time in Mu-Ramp: 454.9, Current mu: 4.545, Max bond dimensions: 5
Averaging task (ID 5) for mu=4.6 completed. Results saved to output_N40_mu4.6.txt
Mu-Ramp Step: 9600, Time in Mu-Ramp: 459.9, Current mu: 4.54, Max bond dimensions: 5
Mu-Ramp Step: 9650, Time in Mu-Ramp: 464.9, Current mu: 4.535, Max bond dimensions: 5
Mu-Ramp Step: 9700, Time in Mu-Ramp: 469.9, Current mu: 4.53, Max bond dimensions: 5
Mu-Ramp Step: 9750, Time in Mu-Ramp: 474.9, Current mu: 4.525, Max bond dimensions: 5
Mu-Ramp Step: 9800, Time in Mu-Ramp: 479.9, Current mu: 4.52, Max bond dimensions: 5
Mu-Ramp Step: 9850, Time in Mu-Ramp: 484.9, Current mu: 4.515, Max bond dimensions: 5
Mu-Ramp Step: 9900, Time in Mu-Ramp: 489.9, Current mu: 4.51, Max bond dimensions: 5
Mu-Ramp Step: 9950, Time in Mu-Ramp: 494.9, Current mu: 4.505, Max bond dimensions: 5
Mu-Ramp Step: 10000, Time in Mu-Ramp: 499.9, Current mu: 4.5, Max bond dimensions: 5
Scheduling averaging task (ID 6) for mu=4.5 at overall step 10001.
Mu-Ramp Step: 10050, Time in Mu-Ramp: 504.9, Current mu: 4.495, Max bond dimensions: 5
Mu-Ramp Step: 10100, Time in Mu-Ramp: 509.9, Current mu: 4.49, Max bond dimensions: 5
Mu-Ramp Step: 10150, Time in Mu-Ramp: 514.9, Current mu: 4.485, Max bond dimensions: 5
Mu-Ramp Step: 10200, Time in Mu-Ramp: 519.9, Current mu: 4.48, Max bond dimensions: 5
Mu-Ramp Step: 10250, Time in Mu-Ramp: 524.9, Current mu: 4.475, Max bond dimensions: 5
Mu-Ramp Step: 10300, Time in Mu-Ramp: 529.9, Current mu: 4.47, Max bond dimensions: 5
